Medical Condition,Protocol Count
22Q11 DELETION SYNDROME,3
ABDOMINAL SUBCUTANEOUS FAT,1
ABDOMINAL SURGERY,3
ABNORMAL WOUND HEALING,1
ABUSE POTENTIAL,2
ACCORDION WRINKLES,1
ACE INHIBITOR INDUCED ANGIOEDEMA,1
ACHILLES TENDINOSIS,2
ACHONDROPLASIA,10
ACID SPHINGOMYELINASE DEFICIENCY,1
ACNE,25
ACNEFORM ERUPTIONS,1
ACROMEGALY,3
ACTINIC KERATOSIS,6
ACTIVE ANKYLOSING SPONDYLITIS,3
ACTIVE AXIAL SPONDYLOARTHRITIS,2
ACTIVE PSORIATIC ARTHRITIS,9
ACTIVE RADIOGRAPHIC AXIAL SPONDYLOARTHRITIS,1
ACTIVE ROTATOR CUFF TENDINOPATHY,1
ACUTE BACTERIAL SKIN AND SKIN STRUCTURE INFECTIONS,1
ACUTE CORONARY SYNDROME,11
ACUTE HERPETIC GINGIVOSTOMATITS,1
ACUTE ISCHEMIC STROKE,10
ACUTE KIDNEY INJURY,3
ACUTE LYMPHOBLASTIC LEUKEMIA,41
ACUTE MAJOR BLEEDING,3
ACUTE MYELOGENOUS LEUKEMIA,23
ACUTE MYELOID LEUKEMIA,65
ACUTE MYOCARDIAL INFARCTION,5
ACUTE OPTIC NEURITIS,1
ACUTE OTITIS EXTERNA,1
ACUTE POST-TRAUMATIC HEADACHES,1
ACUTE PULMONARY EMBOLISM,2
ACUTE RENAL INJURY,3
ACUTE RESPIRATORY DISTRESS SYNDROME (ARDS),5
ACUTE RESPIRATORY FAILURE,3
ACUTE VENOUS THROMBOEMBOLISM,2
ADAMANTINOMATOUS CRANIOPHARYNGIOMA,2
ADDICTION,11
ADENOCARCINOMA,64
ADENOCARCINOMA OF PANCREAS,3
ADENOCARCINOMA OF THE STOMACH,1
ADENOID CYSTIC CARCINOMA (ACC),2
ADENOVIRAL CONJUNCTIVITIS,1
ADENOVIRUS,2
ADULT ONSET STILL'S DISEASE,1
ADVANCED CANCERS,28
ADVANCED HEPATOCELLULAR CARCINOMA,13
ADVANCED LUNG CANCER,4
ADVANCED MALIGNANCIES,20
ADVANCED MALIGNANT TUMORS,5
ADVANCED PRAME-POSITIVE CANCERS,1
ADVANCED SOLID TUMORS,196
ADVANCED TUMORS,2
ADVERSE VASCULAR EVENTS,1
AGGRESSION,3
AGGRESSIVE FIBROMATOSIS,1
ALAGILLE SYNDROME,8
ALBUMINURIA,2
ALCOHOL USE DISORDER,10
ALCOHOL WITHDRAWAL SYNDROME,1
ALCOHOLIC HEPATITIS (AH),2
ALLERGIC CONJUNCTIVITIS,8
ALLERGIC CONTACT DERMATITIS,1
ALLERGIES,52
ALLERGIES ENVIRONMENTAL,14
ALLERGIES PEANUT,17
ALLERGIES RESPITATORY,12
ALLOGENEIC STEM CELL TRANSPLANT,1
ALLOGRAFT DYSFUNCTION,3
ALOPECIA AREATA,20
ALPHA-1 ANTITRYPSIN DEFICIENCY (AATD),8
ALPHA1-PROTEINASE INHIBITOR DEFICIENT,2
ALPORT SYNDROME,4
ALVEOLAR SOFT PART SARCOMA,2
ALZHEIMER'S DISEASE,142
AMYLOIDOSIS,19
AMYOTROPHIC LATERAL SCLEROSIS (ALS),56
ANAL CANCER,2
ANAL DYSPLASIA,1
ANALGESIA,8
ANAPLASTIC ASTROCYTOMA,2
ANAPLASTIC LARGE-CELL LYMPHOMA,1
ANAPLASTIC LYMPHOMA KINASE-POSITIVE ADVANCED NON-SMALL CELL LUNG CANCER,3
ANASTHESIA,9
ANDROGENIC ALOPECIA,2
ANEMIA,38
ANEURYSM,11
ANEURYSMAL SUBARACHNOID HEMORRHAGE,5
ANGELMAN SYNDROME (AS),7
ANGINA PECTORIS,3
ANGIOEDEMA,42
ANGIOGENIC SARCOMA,1
ANGIOIMMUNOBLASTIC T-CELL LYMPHOMA,1
ANKYLOSING SPONDYLITIS,13
ANOREXIA,9
ANTI-NEUTROPHIL CYTOPLASMIC AUTOANTIBODY (ANCA)-ASSOCIATED VASCULITIS,3
ANTIBIOTIC RESISTANCE,2
ANTIBODY AUTOIMMUNE HEMOLYTIC ANEMIA,4
ANTIPHOSPHOLIPID SYNDROME,4
ANUERISMAL SUBARACHNOID HAEMORRHAGE,1
ANXIETY DISORDER,12
AORTIC ANEURYSM,4
AORTIC VALVE STENOSIS,4
APLHA-MANNOSIDOSIS,1
APPENDICITIS,4
ARGINASE-1 DEFICIENCY,4
ARTERIOVENOUS MALFORMATIONS (AVM),2
ARTHIRITS,2
ARTHRALGIAS,2
ARTICULAR CARTILAGE DEFECT,2
ARTICULAR CARTILAGE INJURY,5
ASSISTED REPRODUCTIVE TECHNOLOGY PROGRAMME,3
ASTHMA,150
ATHEROSCLEROSIS,7
ATHEROSCLEROTIC PLAQUE PROGRESSION,1
ATHEROSCLEROTIC VASCULAR DISEASE,2
ATHLETE'S FOOT (TINEA PEDIS),1
ATOPIC DERMATITIS,197
ATOPIC HAND AND FOOT DERMATITIS,2
ATRIAL FIBRILLATION,40
ATRIAL FLUTTER,3
ATRIAL MITRAL REGURGITATION,1
ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD),14
ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS),4
AUTISM,17
AUTISM SPECTRUM DISORDER,16
AUTOIMMUNE CYTOPENIAS,1
AUTOIMMUNE DISEASE,10
AUTOIMMUNE ENCEPHALITIS,2
AUTOIMMUNE GLOMERULAR DISEASE,1
AUTOIMMUNE HEPATITIS,5
AUTOIMMUNE PULMONARY ALVEOLAR PROTEINOSIS,1
AUTOSOMAL DOMINANT HYPOCALCEMIA TYPE 1,1
AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE,6
AXIAL SPONDYLARTHRITIS,5
AXILLARY HYPERHIDROSIS,2
B CELL MALIGNANCY,1
B-CELL ACUTE LYMPHOBLASTIC LEUKEMIA,9
B-CELL MALIGNANCIES,11
B-CELL NON-HODGKIN'S LYMPHOMA,16
BACTEREMIA,1
BACTERIAL CONJUNCTIVITIS,1
BACTERIAL PNEUMONIA,1
BACTERIAL VAGINOSIS,1
BARRETT'S ESOPHAGUS (BE),1
BASAL CELL CARCINOMA,1
BASAL CELL NEVUS SYNDROME,3
BEHAVIORAL VARIANT FRONTOTEMPORAL DEMENTIA (BVFTD),2
BETA-THALASSEMIA,4
BILIARY ATRESIA,4
BILIARY CANCER,11
BINGE EATING DISORDER,2
BIPOLAR DEPRESSION,11
BIPOLAR DISORDER,16
BIPOLAR POSTPARTUM DEPRESSION,1
BIRCH POLLEN ALLERGY,1
BIRTH ASPHYXIA,2
BK VIREMIA,1
BLADDER CANCER,52
