Sponsor,Total Protocols,Distinct Brands
0 DUMMY COMPANY,1,1
16506607 CANADA INC,1,1
1GLOBE HEALTH INSTITUTE,4,4
"23ANDME, INC.",1,1
35PHARMA INC.,3,2
"4D MOLECULAR THERAPEUTICS, INC.",1,1
4MOVINGBIOTECH,1,1
89BIO INC.,3,2
"9 METERS BIOPHARMA, INC.",1,1
AARDVARK THERAPEUTICS INC,1,1
"AASTROM BIOSCIENCES, INC.",1,1
AB SCIENCE S.A.,13,3
AB2 BIO LTD,2,2
"ABBISKO THERAPEUTICS CO., LTD",1,1
ABBVIE BIOTHERAPEUTICS INC,1,1
ABBVIE CORPORATION,212,109
ABBVIE INC,8,8
ABBVIE STEMCENTRX LLC,1,1
ABCELLERA BIOLOGICS INC,1,1
ABCURO INC,2,1
ABIVAX SA,6,2
ABLYNX NV,2,2
ABRAHAM NUNES,1,1
ACACIA PHARMA LTD,2,2
ACADIA PHARMACEUTICALS INC,4,2
ACCELERON PHARMA INC,8,3
ACCORD HEALTHCARE LTD,1,1
ACELYRIN INC.,3,1
ACERTA PHARMA BV,6,6
ACERUS PHARMACEUTICALS CORPORATION,1,1
"ACLARIS THERAPEUTICS, INC.",1,1
ACORDA THERAPEUTICS INC,3,2
ACROTECH BIOPHARMA INC.,1,1
ACTELION PHARMACEUTICALS CANADA INC,8,4
"ACTINIUM PHARMACEUTICALS, INC",1,1
ACTUATE THERAPEUTICS INC.,1,1
"ACUMEN PHARMACEUTICALS, INCORPORATED",1,1
ADAMAS PHARMACEUTICALS INC.,4,1
ADAPTIMMUNE LLC,7,6
"ADARE DEVELOPMENT I, LP",1,1
"ADARX PHARMACEUTICALS, INC.",1,1
ADC THERAPEUTICS SA,3,3
"ADISO THERAPEUTICS, INC.",1,1
ADLAI NORTYE USA INC,1,1
ADURO BIOTECH INC,2,2
ADVANCED ACCELERATOR APPLICATIONS INTERNATIONAL SA,2,1
"ADVANCED ACCELERATOR APPLICATIONS USA, INC.",1,1
"ADVANCED ACCELERATOR APPLICATIONS, A NOVARTIS COMPANY",1,1
ADVAXIS IMMUNOTHERAPIES,1,1
ADVICENNE,2,1
AEGERION PHARMACEUTICALS INC,1,1
"AEGLEA BIOTHERAPEUTICS, INC",5,3
AEON BIOPHARMA INC.,1,1
AERIE PHARMACEUTICALS INC,2,2
"AEROGEN PHARMA, LTD.",2,1
AEROVATE THERAPEUTICS INC,2,1
AETERNA ZENTARIS GMBH,1,1
AEVI GENOMIC MEDICINE INC,1,1
AFFERENT PHARMACEUTICALS INC,1,1
AFIMMUNE LIMITED,1,1
AFYX THERAPEUTICS A/S,1,1
"AGENEBIO, INC",1,1
AGENSYS INC,3,3
AGIOS PHARMACEUTICALS INC,11,3
"AGOMAB SPAIN, S.L.",1,1
AICURIS ANTI-INFECTIVE CURES AG,1,1
"AIMMUNE THERAPEUTICS, INC",5,4
AKCEA THERAPEUTICS INC,4,4
AKEBIA THERAPEUTICS INC,3,1
"AKERO THERAPEUTICS, INC",3,2
"AKESO BIOPHARMA CO., LTD",1,1
AKROS PHARMA INC,3,3
AL-S PHARMA,2,1
ALBERTA CHILDRENS HOSPITAL,1,1
ALBERTA HEALTH SERVICES,20,19
"ALBERTA HEALTH SERVICES, CROSS CANCER INSTITUTE",4,4
ALBERTA HEALTH SERVICES-TOM BAKER CANCER CENTRE,1,1
ALBIREO AB,4,2
ALCON RESEARCH LIMITED,3,3
"ALDENA THERAPEUTICS (UK), LTD.",1,1
ALDEYRA THERAPEUTICS INC,7,4
ALECTOR INC,5,5
ALENTIS THERAPEUTICS AG,1,1
ALETHIA BIOTHERAPEUTICS INC,3,1
ALEXION PHARMA GMBH,1,1
ALEXION PHARMA INTERNATIONAL SARL,1,1
ALEXION PHARMACEUTICALS INC,45,26
ALFASIGMA S.P.A,1,1
ALFRED HEALTH,1,1
ALGERNON PHARMACEUTICALS INCORPORATED,1,1
"ALIGOS THERAPEUTICS, INC.",1,1
ALIMENTIV INC.,2,1
ALIOS BIOPHARMA,1,1
ALIXER NEXGEN THERAPEUTICS LTD,1,1
ALK- ABELLO A/S,4,4
ALKERMES INC,7,4
ALLAKOS INC.,2,1
"ALLAY THERAPEUTICS, INC",1,1
ALLENA PHARMACEUTICALS INC,1,1
ALLERGAN INC,28,16
ALLERGAN SALES LLC,1,1
ALLERGOPHARMA GMBH AND CO.KG,1,1
ALLIANCE FOR CLINICAL TRIALS IN ONCOLOGY,1,1
ALLOGENE THERAPEUTICS INC,3,3
"ALLOVIR, INC",3,3
"ALLROCK BIO, INC.",1,1
ALMIRALL S.A.,1,1
ALNYLAM PHARMACEUTICALS INC,21,17
"ALPINE IMMUNE SCIENCES, INC.",2,2
ALTAVANT SCIENCES GMBH,2,1
"ALTIMMUNE, INC.",2,2
"ALTRUBIO, INC",1,1
ALUMIS INC.,5,2
ALVINE PHARMACEUTICALS INC,1,1
ALX ONCOLOGY INC.,3,3
