Manufacturer,Drug Count,Rank
NOVARTIS PHARMACEUTICALS CANADA INC,332,1
MERCK CANADA INC,289,2
HOFFMANN-LA ROCHE LIMITED,269,3
BRISTOL-MYERS SQUIBB CANADA,237,4
ABBVIE CORPORATION,215,5
ASTRAZENECA CANADA INC,212,6
GLAXOSMITHKLINE INC,204,7
ELI LILLY CANADA INC,169,8
UNIVERSITY HEALTH NETWORK,165,9
JANSSEN INC,153,10
AMGEN CANADA INC,143,11
SANOFI-AVENTIS CANADA INC,133,12
PFIZER CANADA ULC,132,13
BOEHRINGER INGELHEIM (CANADA) LTD LTEE,128,14
GILEAD SCIENCES CANADA INC,118,15
NOVO NORDISK CANADA INC,99,16
"CANADIAN CANCER TRIALS GROUP, CANCER RESEARCH INSTITUTE, QUEEN'S UNIVERSITY",97,17
ASTRAZENECA AB,96,18
GOVERNORS OF THE UNIVERSITY OF ALBERTA,92,19
BAYER INC,91,20
SUNNYBROOK RESEARCH INSTITUTE,88,21
CHILDRENS ONCOLOGY GROUP,80,22
PRINCESS MARGARET CANCER CENTRE,76,23
INCYTE CORPORATION,74,24
PFIZER CANADA INC,71,25
REGENERON PHARMACEUTICALS INC,71,26
TAKEDA DEVELOPMENT CENTER AMERICAS INC,70,27
CENTRE FOR ADDICTION AND MENTAL HEALTH,66,28
OTTAWA HOSPITAL RESEARCH INSTITUTE,60,29
HAMILTON HEALTH SCIENCES CORPORATION,59,30
JANSSEN RESEARCH AND DEVELOPMENT LLC,53,31
THE HOSPITAL FOR SICK CHILDREN,52,32
GENENTECH INC,51,33
MCMASTER UNIVERSITY,46,34
UCB INC,45,35
ALEXION PHARMACEUTICALS INC,45,36
VERTEX PHARMACEUTICALS INC,44,37
RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE,44,38
CELGENE INC,41,39
IONIS PHARMACEUTICALS INC,38,40
UNIVERSITY OF CALGARY,38,41
ASTELLAS PHARMA GLOBAL DEVELOPMENT INC,36,42
NRG ONCOLOGY,32,43
TEVA BRANDED PHARMACEUTICAL PRODUCTS R&D INC,32,44
ST MICHAELS HOSPITAL,32,45
BIOGEN MA INCORPORATED,30,46
EISAI INC,28,47
GOVERNORS OF THE UNIVERSITY OF CALGARY,28,48
ALLERGAN INC,28,49
SANOFI AVENTIS RECHERCHE & DEVELOPPEMENT,28,50
ARGENX BV,27,51
DAIICHI SANKYO INC,27,52
BRISTOL-MYERS SQUIBB CANADA CO.,27,53
UNIVERSITY OF MANITOBA,27,54
JEWISH GENERAL HOSPITAL,26,55
SEAGEN INC.,25,56
HOSPITAL FOR SICK CHILDREN,24,57
CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,24,58
LONDON HEALTH SCIENCES CENTRE,24,59
PET CENTRE CENTRE FOR ADDICTION AND MENTAL HEALTH,22,60
ALNYLAM PHARMACEUTICALS INC,21,61
"BC CANCER, PART OF THE PROVINCIAL HEALTH SERVICES AUTHORITY",21,62
MILLENNIUM PHARMACEUTICALS INC,20,63
ALBERTA HEALTH SERVICES,20,64
VERTEX PHARMACEUTICALS (CANADA) INCORPORATED,19,65
OTTAWA HEART INSTITUTE RESEARCH CORPORATION,19,66
"EMD SERONO RESEARCH & DEVELOPMENT INSTITUTE, INC",19,67
ST. JOSEPH'S HEALTHCARE HAMILTON,19,68
CHU DE QUÉBEC-UNIVERSITÉ LAVAL,19,69
CSL BEHRING,19,70
"MODERNATX, INC.",18,71
ULTRAGENYX PHARMACEUTICAL INC,18,72
PTC THERAPEUTICS INC,18,73
MEDIMMUNE LLC,18,74
UNIVERSITY OF SASKATCHEWAN,18,75
MCGILL UNIVERSITY HEALTH CENTRE,18,76
CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,17,77
VIIV HEALTHCARE UK LIMITED,17,78
UNIVERSITY OF BRITISH COLUMBIA,17,79
MOUNT SINAI HOSPITAL,16,80
CROSS CANCER INSTITUTE - CANCER CARE ALBERTA,16,81
"ARROWHEAD PHARMACEUTICALS, INC.",16,82
"ARCUTIS BIOTHERAPEUTICS, INC",15,83
OTSUKA PHARMACEUTICAL DEVELOPMENT & COMMERCIALIZATION INC,15,84
INSIGHTEC,15,85
SUMITOMO DAINIPPON PHARMA ONCOLOGY INC,15,86
"CYTOKINETICS, INCORPORATED",15,87
LEO PHARMA AS,15,88
SERVIER CANADA INC,15,89
AMGEN INC,14,90
C17,14,91
"KARYOPHARM THERAPEUTICS, INC.",14,92
THE GOVERNORS OF THE UNIVERSITY OF ALBERTA,14,93
SHIRE HUMAN GENETIC THERAPIES INC,14,94
BEONE MEDICINES LTD.,14,95
MONTREAL HEART INSTITUTE,14,96
LAWSON HEALTH RESEARCH INSTITUTE,13,97
AB SCIENCE S.A.,13,98
TAIHO ONCOLOGY INC.,13,99
DERMIRA INCORPORATED,12,100
MEDICAGO INC,12,101
CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,12,102
ARRAY BIOPHARMA INC,11,103
AGIOS PHARMACEUTICALS INC,11,104
PRINCESS MARGARET HOSPITAL PHASE 2 CONSORTIUM,11,105
MERCK KGAA,11,106
LEO PHARMA INC,11,107
FERRING INC,11,108
CLOVIS ONCOLOGY INC,10,109
TORONTO GENERAL HOSPITAL,10,110
WAVE LIFE SCIENCES UK LTD,10,111
MERCK SHARP & DOHME CORP,10,112
BIOCRYST PHARMACEUTICALS INC,10,113
ROBARTS RESEARCH INSTITUTE,10,114
HOPITAL MAISONNEUVE ROSEMONT,10,115
