Medical Condition,Protocol Count
CANCER,1368
TUMOR,487
SOLID TUMORS,426
SMALL CELL LUNG CANCER,363
CARCINOMA,308
NON-SMALL CELL LUNG CANCER,299
BREAST CANCER,260
DIABETES,256
LEUKEMIA,246
LYMPHOMA,227
PROSTATE CANCER,202
ATOPIC DERMATITIS,197
ADVANCED SOLID TUMORS,196
PSORIASIS,162
MYELOMA,160
MULTIPLE MYELOMA,156
ASTHMA,150
ULCERATIVE COLITIS,149
ALZHEIMER'S DISEASE,142
PLAQUE PSORIASIS,140
CORONAVIRUS DISEASE (COVID-19),139
TYPE 2 DIABETES,135
CROHN'S DISEASE,123
PAIN,122
OVARIAN CANCER,102
MELANOMA,102
OBESITY,100
HEART FAILURE,96
HYPERTENSION,93
MULTIPLE SCLEROSIS,90
MYELOID LEUKEMIA,90
HUMAN IMMUNODEFICIENCY VIRUS (HIV),89
MALIGNANCIES,86
RECTAL CANCER,84
CYSTIC FIBROSIS,84
CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD),83
KIDNEY DISEASE,82
TYPE 1 DIABETES,82
COLORECTAL CANCER,77
SURGERY,76
HEPATITIS C VIRUS,75
SQUAMOUS CELL CARCINOMA,73
DEPRESSION,68
HODGKIN LYMPHOMA,67
TRANSPLANTATION,65
ACUTE MYELOID LEUKEMIA,65
ADENOCARCINOMA,64
HEMOPHILIA,63
RELAPSED OR REFRACTORY MULTIPLE MYELOMA,62
MUSCULAR DYSTROPHY,60
PARKINSON'S DISEASE,60
RHEUMATOID ARTHRITIS,57
UROTHELIAL CANCER,56
MAJOR DEPRESSIVE DISORDER,56
VASCULAR DISEASE,56
AMYOTROPHIC LATERAL SCLEROSIS (ALS),56
LARGE B-CELL LYMPHOMA,55
HEPATOCELLULAR CARCINOMA,54
DIFFUSE LARGE B-CELL LYMPHOMA,54
MYASTHENIA GRAVIS,54
BLADDER CANCER,52
ALLERGIES,52
SARCOMA,51
HIDRADENITIS SUPPURATIVA,51
LYMPHOBLASTIC LEUKEMIA,51
CARDIOVASCULAR DISEASE,50
RENAL CELL CARCINOMA,50
DUCHENNE MUSCULAR DYSTROPHY,49
MIGRAINE,48
RESPIRATORY SYNCYTIAL VIRUS,48
MYELODYSPLASTIC SYNDROME,48
CARCINOMA OF THE HEAD AND NECK,48
LUPUS ERYTHEMATOSUS,48
STROKE,47
