Sponsor,Total Protocols,Distinct Brands
NOVARTIS PHARMACEUTICALS CANADA INC,329,222
MERCK CANADA INC,288,202
HOFFMANN-LA ROCHE LIMITED,264,224
BRISTOL-MYERS SQUIBB CANADA,236,188
ASTRAZENECA CANADA INC,212,144
ABBVIE CORPORATION,212,109
GLAXOSMITHKLINE INC,204,135
ELI LILLY CANADA INC,169,102
UNIVERSITY HEALTH NETWORK,160,149
JANSSEN INC,153,108
AMGEN CANADA INC,142,96
SANOFI-AVENTIS CANADA INC,133,76
PFIZER CANADA ULC,132,101
BOEHRINGER INGELHEIM (CANADA) LTD LTEE,128,63
GILEAD SCIENCES CANADA INC,118,73
NOVO NORDISK CANADA INC,98,53
"CANADIAN CANCER TRIALS GROUP, CANCER RESEARCH INSTITUTE, QUEEN'S UNIVERSITY",97,80
ASTRAZENECA AB,96,80
BAYER INC,91,65
SUNNYBROOK RESEARCH INSTITUTE,87,70
GOVERNORS OF THE UNIVERSITY OF ALBERTA,86,72
PRINCESS MARGARET CANCER CENTRE,76,73
INCYTE CORPORATION,74,35
CHILDRENS ONCOLOGY GROUP,72,78
PFIZER CANADA INC,71,41
REGENERON PHARMACEUTICALS INC,71,57
TAKEDA DEVELOPMENT CENTER AMERICAS INC,70,47
CENTRE FOR ADDICTION AND MENTAL HEALTH,66,55
OTTAWA HOSPITAL RESEARCH INSTITUTE,60,51
HAMILTON HEALTH SCIENCES CORPORATION,59,50
JANSSEN RESEARCH AND DEVELOPMENT LLC,53,36
GENENTECH INC,51,48
THE HOSPITAL FOR SICK CHILDREN,51,44
ALEXION PHARMACEUTICALS INC,45,26
UCB INC,45,17
RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE,44,39
MCMASTER UNIVERSITY,44,41
VERTEX PHARMACEUTICALS INC,43,30
CELGENE INC,38,31
IONIS PHARMACEUTICALS INC,38,23
UNIVERSITY OF CALGARY,38,30
ASTELLAS PHARMA GLOBAL DEVELOPMENT INC,36,27
TEVA BRANDED PHARMACEUTICAL PRODUCTS R&D INC,32,18
NRG ONCOLOGY,32,26
ST MICHAELS HOSPITAL,32,27
BIOGEN MA INCORPORATED,30,21
ALLERGAN INC,28,16
SANOFI AVENTIS RECHERCHE & DEVELOPPEMENT,28,19
EISAI INC,28,24
GOVERNORS OF THE UNIVERSITY OF CALGARY,28,21
UNIVERSITY OF MANITOBA,27,23
BRISTOL-MYERS SQUIBB CANADA CO.,27,21
DAIICHI SANKYO INC,27,24
ARGENX BV,27,13
SEAGEN INC.,25,24
HOSPITAL FOR SICK CHILDREN,24,21
LONDON HEALTH SCIENCES CENTRE,24,23
JEWISH GENERAL HOSPITAL,24,26
CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,24,20
PET CENTRE CENTRE FOR ADDICTION AND MENTAL HEALTH,22,20
ALNYLAM PHARMACEUTICALS INC,21,17
"BC CANCER, PART OF THE PROVINCIAL HEALTH SERVICES AUTHORITY",21,21
ALBERTA HEALTH SERVICES,20,19
MILLENNIUM PHARMACEUTICALS INC,20,17
CSL BEHRING,19,15
ST. JOSEPH'S HEALTHCARE HAMILTON,19,14
OTTAWA HEART INSTITUTE RESEARCH CORPORATION,19,17
"EMD SERONO RESEARCH & DEVELOPMENT INSTITUTE, INC",19,17
PTC THERAPEUTICS INC,18,11
VERTEX PHARMACEUTICALS (CANADA) INCORPORATED,18,18
UNIVERSITY OF SASKATCHEWAN,18,16
"MODERNATX, INC.",18,14
ULTRAGENYX PHARMACEUTICAL INC,18,12
CHU DE QUÉBEC-UNIVERSITÉ LAVAL,18,16
MCGILL UNIVERSITY HEALTH CENTRE,18,18
MEDIMMUNE LLC,18,16
CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,17,15
UNIVERSITY OF BRITISH COLUMBIA,17,17
VIIV HEALTHCARE UK LIMITED,17,12
MOUNT SINAI HOSPITAL,16,14
"ARROWHEAD PHARMACEUTICALS, INC.",16,11
CROSS CANCER INSTITUTE - CANCER CARE ALBERTA,16,15
OTSUKA PHARMACEUTICAL DEVELOPMENT & COMMERCIALIZATION INC,15,10
"CYTOKINETICS, INCORPORATED",15,10
INSIGHTEC,15,9
SUMITOMO DAINIPPON PHARMA ONCOLOGY INC,15,12
SERVIER CANADA INC,15,14
"ARCUTIS BIOTHERAPEUTICS, INC",15,6
LEO PHARMA AS,15,10
THE GOVERNORS OF THE UNIVERSITY OF ALBERTA,14,14
"KARYOPHARM THERAPEUTICS, INC.",14,7
MONTREAL HEART INSTITUTE,14,11
BEONE MEDICINES LTD.,14,13
SHIRE HUMAN GENETIC THERAPIES INC,14,12
LAWSON HEALTH RESEARCH INSTITUTE,13,10
TAIHO ONCOLOGY INC.,13,10
AMGEN INC,13,11
AB SCIENCE S.A.,13,3
CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,12,12
MEDICAGO INC,12,6
DERMIRA INCORPORATED,12,5
MERCK KGAA,11,10
AGIOS PHARMACEUTICALS INC,11,3
FERRING INC,11,7
LEO PHARMA INC,11,5
ARRAY BIOPHARMA INC,11,10
PRINCESS MARGARET HOSPITAL PHASE 2 CONSORTIUM,11,9
CLOVIS ONCOLOGY INC,10,4
TORONTO GENERAL HOSPITAL,10,10
H. LUNDBECK A/S,10,6
WAVE LIFE SCIENCES UK LTD,10,7
MCGILL UNIVERSITY,10,7
ROBARTS RESEARCH INSTITUTE,10,3
HOPITAL MAISONNEUVE ROSEMONT,10,10
MERCK SHARP & DOHME CORP,10,7
KITEPHARMA INC,10,4
JAZZ PHARMACEUTICALS INC,10,8
LEXICON PHARMACEUTICALS INC,10,4
BIOCRYST PHARMACEUTICALS INC,10,5
NCIC CLINICAL TRIALS GROUP QUEENS UNIVERSITY,9,9
JAZZ PHARMACEUTICALS IRELAND LIMITED,9,8
QUEENS UNIVERSITY,9,9
"RHYTHM PHARMACEUTICALS, INC",9,3
CIRCASSIA LTD,9,6
C17 COUNCIL,9,8
DOUGLAS MENTAL HEALTH UNIVERSITY INSTITUTE,9,6
IMMUNOVANT SCIENCES GMBH,9,5
NEUROCRINE BIOSCIENCES INC,9,6
IDORSIA PHARMACEUTICALS LTD,9,6
DBV TECHNOLOGIES SA,9,6
NS PHARMA INC,8,7
BOEHRINGER INGELHEIM INTERNATIONAL GMBH,8,5
MACROGENICS INC,8,8
UNITED THERAPEUTICS CORPORATION,8,3
ACCELERON PHARMA INC,8,3
ARENA PHARMACEUTICALS INC,8,3
"SAREPTA THERAPEUTICS, INC",8,6
ASTEX PHARMACEUTICALS INC.,8,7
SANOTIZE RESEARCH & DEVELOPMENT CORP,8,3
GALDERMA CANADA INC,8,7
"APELLIS PHARMACEUTICALS, INC",8,2
ABBVIE INC,8,8
ACTELION PHARMACEUTICALS CANADA INC,8,4
BLUEPRINT MEDICINES CORPORATION,8,4
"JAEB CENTER FOR HEALTH RESEARCH FOUNDATION, INC",8,5
LUMENA PHARMACEUTICALS INC,8,2
"QED THERAPEUTICS, INC.",8,4
EXELIXIS INC,8,7
PRINCESS MARGARET HOSPITAL PHASE I CONSORTIUM,8,8
BRITISH COLUMBIA CHILDRENS HOSPITAL,8,7
VIIV HEALTHCARE ULC,8,5
MEDIMMUNE LIMITED,8,6
BAXALTA US INC,7,7
GENZYME CORPORATION,7,5
MILESTONE PHARMACEUTICALS INC,7,1
XENON PHARMACEUTICALS INC,7,4
UNITY HEALTH TORONTO,7,7
ST JOSEPHS HEALTHCARE,7,6
ENDOCEUTICS INC,7,3
"REVANCE THERAPEUTICS, INC.",7,2
CRISPR THERAPEUTICS INC,7,7
PHARVARIS NETHERLANDS B.V.,7,3
ADAPTIMMUNE LLC,7,6
"ESPERION THERAPEUTICS, INC",7,3
ZEALAND PHARMA A/S,7,3
ANAPTYSBIO INC,7,7
SPECTRUM PHARMACEUTICALS INC,7,7
IMMUNOGEN INC,7,5
