med_condition_id,med_condition
276,OPIOID-INDUCED CONSTIPATION
436,CRANIOCEREBRAL TRAUMA
451,TINNITUS
287,ANUERISMAL SUBARACHNOID HAEMORRHAGE
408,RETROPERITONEAL SURGERY
581,ADENOVIRUS
520,ACTINIC KERATOSIS
524,NEUROGENIC BLADDER DYSFUNCTION
603,COMMON COLD
570,PRIMARY AMENORRHEA
477,POST-POLIO SYNDROME
573,OCULOPHARYNGEAL MUSCULAR DYSTROPHY (OPMD)
535,TRANSFUSION DEPENDENT THALASSEMIA
318,NONSENSE MUTATION DYSTROPHINOPATHY
410,OCCLUSIONS
708,SKELETAL PATHOLOGY
430,NEUROFIBROMATOSIS TYPE I
673,AXIAL SPONDYLARTHRITIS
742,FAMILIAL AMYLOIDOTIC POLYNEUROPATHY
693,ANTIBIOTIC RESISTANCE
733,PRIMARY CILIARY DYSKINESIA
752,SUBUNGUAL ONYCHOMYCOSIS (DSO)
679,LIPOPROTEIN PRODUCTION
709,ILEOSTOMY
787,LI-FRAUMENI SYNDROME
784,VITREOUS HEMORRHAGE
833,TONSILLECTOMY
823,REFRACTORY EPILEPTIC ENCEPHALOPATHY
1207,ISOLATED CERVICAL DYSTONIA
800,VIRUS-ASSOCIATED CANCER
806,HEPATIC STEATOSIS
810,X-LINKED MYOTUBULAR MYOPATHY
771,HYPOGLYCEMIA UNAWARENESS
818,BRONCHOCONSTRICTION
1282,NOSEBLEED
1210,CAT ALLERGY
1273,RADIATION DERMATITIS
1121,HYPOXIC ISCHEMIC ENCEPHALOPATHY
244,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS
1346,ORBITAL CELLULITIS
1323,EXPANDED CORD BLOOD TRANSPLANTATION
1200,CLEAR CELL SARCOMA
1074,SEBORRHEIC DERMATITIS
1238,PERIPHERAL SPONDYLOARTHRITIS
1229,JAW SURGERY
1088,GAUCHER DISEASE TYPE 3
1029,HYPOPLASTIC LEFT HEART SYNDROME (AUTO CELL-II)
1057,DEGENERATIVE SPONDYLOLISTHESIS
1030,BK VIREMIA
1157,PULMONARY ASPERGILLOSIS
1191,CROUP
1120,ICHTHYOSIS
1198,SMALL FOR GESTATIONAL AGE
1082,MYOCARDIAL RECOVERY
1205,NEURONAL CEROID LIPOFUSCINOSIS TYPE 1 (CLN1)
258,ULCERATIVE COLITIS
933,RELAPSED AND/OR REFRACTORY B-CELL LYMPHOMA
174,NEUROPATHIC PAIN
131,INFLUENZA
796,METASTATIC SOLID TUMOURS
191,PARKINSON'S DISEASE
240,SQUAMOUS CELL CARCINOMA
633,NEUROENDOCRINE TUMORS
649,PAROXYSMAL NOCTURNAL HEMOGLOBINURIA
81,FALLOPIAN TUBE CANCER
415,OVERWEIGHT/OBESITY
256,TYPE 1 DIABETES
549,OSTEOGENESIS IMPERFECTA
702,BREAST CANCER TRIPLE NEGATIVE
57,CROHN'S DISEASE
538,MAJOR CARDIOVASCULAR EVENTS
346,FRONTOTEMPORAL DEMENTIA
404,INTRACEREBAL HEMORRAGE
338,VENOUS THROMBOEMBOLISM
177,NON-HODGKIN LYMPHOMA
794,NON ALCOHOLIC FATTY LIVER DISEASE (NAFLD)
308,LEUKEMIA
362,CHRONIC LYMPHOCYTIC LEUKEMIA
232,SICKLE CELL DISEASE
475,RHINITIS
851,GASTROINTESTINAL SURGERY
719,ACUTE MYELOID LEUKEMIA
876,COMPLEX REGIONAL PAIN SYNDROME (CRPS)
438,ORTHOSTATIC HYPOTENSION
838,ALOPECIA AREATA
27,BRAIN METASTASES
188,PANCREATIC NEUROENDOCRINE TUMORS
918,DISTAL RENAL TUBULAR ACIDOSIS
982,LAMELLAR ICHTHYOSIS
151,MACULAR EDEMA
210,PRIMARY IMMUNODEFICIENCY DISEASES
889,SCOLIOSIS
288,NEOVASCULAR AGE-RELATED MACULAR DEGENERATION
264,URINARY TRACT INFECTION
1214,PERTUSSIS
1028,CORONAVIRUS DISEASE (COVID-19)
727,CATARACT SURGERY
688,ENTEROBACTERIACEAE
382,CHOROIDEREMIA
495,INDOLENT SYSTEMIC MASTOCYTOSIS
861,FIBRODYSPLASIA OSSIFICANS PROGRESSIVA (FOP)
1071,HEPATITIS D
534,THALASSEMIA
574,AMYLOIDOSIS
960,FOOD ALLERGIES
1217,PLATYSMA PROMINENCE
31,BREAST CANCER METASTATIC
1059,ACHONDROPLASIA
1173,ALVEOLAR SOFT PART SARCOMA
1280,MENSTRUAL MIGRAINE
1163,ALLOGRAFT DYSFUNCTION
516,HER2 NEGATIVE METASTATIC OR LOCALLY ADVANCED UNRESECTABLE BRCA ASSOCIATED BREAST CANCER
1122,INFANT RESUSCITATION
1068,UTERINE CANCER
457,END STAGE RENAL DISEASE
864,ATHEROSCLEROSIS
499,ACUTE CORONARY SYNDROME
1105,CANDIDEMIA
1104,CANDIDIASIS
1310,ENDOMETRIAL HYPERPLASIA
1040,HER2-AMPLIFIED BILIARY TRACT CANCERS
184,OVARIAN CANCER PRIMARY PERITONEAL
1126,ARTERIOVENOUS MALFORMATIONS (AVM)
530,VENOUS THROMBOSIS
1147,GASTRO-ENTEROPANCREATIC NEUROENDOCRINE TUMORS
1000,XEROSTOMIA
893,FOCAL-ONSET SEIZURES
1162,PRESSURE ULCERS
1170,POLYMYOSITIS
1246,PERIPHERAL NEUROPATHY
1194,OSTEORADIONECROSIS
1232,BIRCH POLLEN ALLERGY
1230,CORNEAL ENDOTHELIAL DYSTROPHY
1159,HYPERTROPHIC SCARS
1171,CLOSTRIDIOIDES DIFFICILE
1358,EOSINOPHILIC DISEASES
228,SECONDARY IMMUNODEFICIENCY DISEASES
