protocol_id,protocol_no,submission_no,status_id,start_date,end_date,nol_date,protocol_title,medConditionList,studyPopulationList
49606,CLCI699C2X01B,217469,2,2019-10-17,2023-11-16,2018-07-19,"AN OPEN-LABEL, MULTI-CENTER, ROLL-OVER STUDY TO ASSESS LONG TERM SAFETY IN PATIENTS WITH ENDOGENOUS CUSHING¿S SUNDROME WHO HAVE COMPLETED A PRIOR NOVARTIS-SPONSORED OSILODROSTAT (LCI699) STUDY AND ARE JUDGED BY THE INVESTIGATOR TO BENEFIT FROM CONTINUED TREATMENT WITH OSILODROSTAT.","[{'med_condition_id': 58, 'med_condition': ""CUSHING'S DISEASE""}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
51621,AL001-1,223747,3,,,2019-02-13,"""A FIRST IN HUMAN PHASE 1 STUDY IN HEALTHY VOLUNTEERS AND HETEROZYGOUS CARRIERS OF A LOSS-OF-FUNCTION GRANULIN MUTATION CAUSATIVE OF FRONTOTEMPORAL DEMENTIA TO ASSESS AL001 SAFETY, TOLERABILITY, PHARMACOKINETICS, AND PHARMACODYNAMICS.""","[{'med_condition_id': 346, 'med_condition': 'FRONTOTEMPORAL DEMENTIA'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
50236,NOSI-CTP-01,219296,1,2019-02-08,,2018-09-27,A PHASE IA TOLERANCE EVALUATION OF TOPICAL NITRIC OXIDE SINUS IRRIGATION (NOSI) DOSE ESCALATION IN INDIVIDUALS WITH RECALCITRANT CHRONIC RHINOSINUSITIS (RCRS),"[{'med_condition_id': 799, 'med_condition': 'RHINOSINUSITIS'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
50943,M16-852,221502,2,2020-01-29,2025-01-16,2018-11-29,"A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY TO EVALUATE THE SAFETY AND EFFICACY OF UPADACITINIB IN SUBJECTS WITH GIANT CELL ARTERITIS","[{'med_condition_id': 330, 'med_condition': 'GIANT CELL ARTERITIS'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
52894,DFU-CTP-01,227835,1,2021-02-09,,2019-07-26,RANDOMIZED PLACEBO CONTROLLED PARALLEL GROUP TRIAL TO EVALUATE SAFETY & EFFICACY OF TOPICAL NITRIC OXIDE RELEASING SOLUTION (NORS) DELIVERED AS AN ADJUNCTIVE FOOTBATH TREATMENT AS COMPARED TO PLACEBO IN THE MANAGEMENT OF DIABETIC FOOT ULCERS,"[{'med_condition_id': 1009, 'med_condition': 'DIABETIC FOOT ULCERS'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
52065,DV0002,223682,1,2019-04-29,,2019-04-03,"A MULTICENTER, RANDOMIZED, OPEN-LABEL STUDY TO EVALUATE THE SAFE AND EFFECTIVE USE OF THE PREFILLED SAFETY SYRINGES OR THE AUTO-INJECTOR FOR THE SUBCUTANEOUS SELF-INJECTION OF BIMEKIZUMAB SOLUTION BY SUBJECTS WITH MODERATE TO SEVERE CHRONIC PLAQUE PSORIASIS","[{'med_condition_id': 689, 'med_condition': 'CHRONIC PLAQUE PSORIASIS'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
53345,D5290C00005,229416,1,2019-11-07,,2019-07-31,"A PHASE 2/3 RANDOMIZED, DOUBLE-BLIND, PALIVAZUMAB-CONTROLLED STUDY TO EVALUATE THE SAFETY OF MEDI8897, A MONOCLONAL ANTIBODY WITH AN EXTENDED HALF-LIFE AGAINST RESPIRATORY SYNCYTIAL VIRUS, IN HIGH-RISK CHILDREN (MEDLEY)","[{'med_condition_id': 280, 'med_condition': 'RESPIRATORY SYNCYTIAL VIRUS'}]","[{'study_population_id': 3, 'study_population': 'PEDIATRIC'}]"
53366,4010-03-001,229464,1,2023-06-14,,2019-08-15,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, MULTICENTER STUDY OF DOSTARLIMAB (TSR-042) PLUS CARBOPLATIN-PACLITAXEL VERSUS PLACEBO PLUS CARBOPLATIN-PACLITAXEL IN PATIENTS WITH RECURRENT OR PRIMARY ADVANCED ENDOMETRIAL CANCER (RUBY)","[{'med_condition_id': 73, 'med_condition': 'ENDOMETRIAL CANCER'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
53835,ID-080A305,230964,1,2019-11-26,,2019-09-20,"MULTI-CENTER, BLINDED, RANDOMIZED STUDY WITH APROCITENTAN IN SUBJECTS WITH UNCONTROLLED BLOOD PRESSURE AND CHRONIC KIDNEY DISEASE STAGE 3 OR 4","[{'med_condition_id': 124, 'med_condition': 'HYPERTENSION'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
53995,MK-7339-009,231535,1,2022-02-04,,2019-10-09,"AN OPEN-LABEL, RANDOMIZED, PHASE 2/3 STUDY OF OLAPARIB PLUS PEMBROLIZUMAB VERSUS CHEMOTHERAPY PLUS PEMBROLIZUMAB AFTER INDUCTION OF CLINICAL BENEFIT WITH FIRST-LINE CHEMOTHERAPY PLUS PEMBROLIZUMAB IN PARTICIPANTS WITH LOCALLY RECURRENT INOPERABLE OR METASTATIC TRIPLE NEGATIVE BREAST CANCER (TNBC) (KEYLYNK-009)","[{'med_condition_id': 627, 'med_condition': 'BREAST CANCER METASTATIC TRIPLE NEGATIVE'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
54373,PJC-026 / NCI 10208,232649,1,2023-02-03,,2019-11-14,"A PHASE I STUDY OF ANETUMAB RAVTANSINE IN COMBINATION WITH EITHER ANTI-PD-1 ANTIBODY, OR ANTI-CTLA4 AND ANTI-PD-1 ANTIBODIES OR ANTI-PD-1 ANTIBODY AND GEMCITABINE IN MESOTHELIN-POSITIVE ADVANCED PANCREATIC ADENOCARCINOMA","[{'med_condition_id': 401, 'med_condition': 'PANCREATIC ADENOCARCINOMA'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
54383,ECU-NMO-303,232663,1,2022-02-01,,2019-11-13,"A PHASE 2/3 OPEN-LABEL, SINGLE-ARM TRIAL TO EVALUATE THE SAFETY AND ACTIVITY OF ECULIZUMAB IN PEDIATRIC PATIENTS WITH RELAPSING NEUROMYELITIS OPTICA SPECTRUM DISORDER","[{'med_condition_id': 324, 'med_condition': 'NEUROMYELITIS OPTICA SPECTRUM DISORDER'}]","[{'study_population_id': 3, 'study_population': 'PEDIATRIC'}]"
54734,MT-1186-A01,233672,2,2021-06-04,2021-12-17,2019-12-23,"A PHASE 3, MULTI-CENTER, OPEN-LABEL, SAFETY STUDY OF ORAL EDARAVONE ADMINISTERED OVER 48 WEEKS IN SUBJECTS WITH AMYOTROPHIC LATERAL SCLEROSIS (ALS)","[{'med_condition_id': 15, 'med_condition': 'AMYOTROPHIC LATERAL SCLEROSIS (ALS)'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
52712,NICHD-2017-ANA01,227245,1,2024-01-18,,2019-07-05,PHARMACOKINETICS AND SAFETY OF ANESTHETICS AND ANALGESICS IN CHILDREN AND ADOLESCENTS,"[{'med_condition_id': 186, 'med_condition': 'PAIN'}]","[{'study_population_id': 3, 'study_population': 'PEDIATRIC'}]"
52748,CA017-078,227349,1,2025-06-20,,2019-05-29,"A PHASE 3, RANDOMIZED, STUDY OF NEOADJUVANT CHEMOTHERAPY ALONE VERSUS NEOADJUVANT CHEMOTHERAPY PLUS NIVOLUMAB OR NIVOLUMAB AND BMS-986205, FOLLOWED BY CONTINUED POST-SURGERY THERAPY WITH NIVOLUMAB OR NIVOLUMAB AND BMS-986205 IN PARTICIPANTS WITH MUSCLE-INVASIVE BLADDER CANCER","[{'med_condition_id': 625, 'med_condition': 'BLADDER CANCER'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
54211,00009196,232215,3,,,2019-11-01,ADALIMUMAB VS CONVENTIONAL IMMUNOSUPPRESSION FOR UVEITIS (ADVISE) TRIAL,"[{'med_condition_id': 1006, 'med_condition': 'UVEITIS'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 3, 'study_population': 'PEDIATRIC'}]"
52764,D5160C00049,227428,2,,2019-08-13,2019-06-03,"A PHASE II, OPEN-LABEL, SINGLE-ARM, MULTICENTER, INTERNATIONAL STUDY OF THE EFFICACY AND SAFETY OF 80 MG OSIMERTINIB IN PATIENTS WITH LEPTOMENINGEAL METASTASES (LM) ASSOCIATED WITH EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) MUTATION-POSITIVE NON-SMALL CELL LUNG CANCER (NSCLC) (BLOSSOM)","[{'med_condition_id': 179, 'med_condition': 'NON-SMALL CELL LUNG CANCER'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
52783,BP29889,227452,3,,,2019-06-06,"""AN OPEN-LABEL, MULTICENTER, DOSE ESCALATION PHASE IB STUDY WITH EXPANSION COHORTS TO EVALUATE THE SAFETY, PHARMACOKINETICS, PHARMACODYNAMICS AND THERAPEUTIC ACTIVITY OF RO7009789 (CD40 AGONISTIC MONOCLONAL ANTIBODY) IN COMBINATION WITH VANUCIZUMAB (ANTI-ANG2 AND ANTI-VEGF BI-SPECIFIC MONOCLONAL ANTIBODY, PART I) OR BEVACIZUMAB (ANTI-VEGF MONOCLONAL ANTIBODY, PART II) IN PATIENTS WITH METASTATIC SOLID TUMORS.""","[{'med_condition_id': 796, 'med_condition': 'METASTATIC SOLID TUMOURS'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
52113,BINIPEMBRO,225389,1,2022-05-03,,2019-03-29,"PHASE I/IB STUDY OF BINIMETINIB, A MEK INHIBITOR, IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED NON-SMALL CELL LUNG CANCER (NSCLC)","[{'med_condition_id': 179, 'med_condition': 'NON-SMALL CELL LUNG CANCER'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
52803,RVT-1201-2001,227538,2,2019-10-25,2020-04-28,2019-05-30,"A PHASE 2A, DOUBLE-BLIND, PLACEBO-CONTROLLED MULTICENTER STUDY TO ASSESS THE SAFETY, TOLERABILITY, PHARMACOKINETICS AND PHARMACODYNAMIC EFFECTS OF RVT-1201 IN PATIENTS WITH PULMONARY ARTERIAL HYPERTENSION","[{'med_condition_id': 218, 'med_condition': 'PULMONARY ARTERIAL HYPERTENSION (PAH)'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
52838,IMMU-132-09,227636,1,2020-02-28,,2019-06-05,"""PHASE 3 STUDY OF SACITUZUMAB GOVITECAN (IMMU-132) VERSUS TREATMENT OF PHYSICIAN'S CHOICE (TPC) IN SUBJECTS WITH HORMONAL RECEPTOR-POSITIVE (HR+) HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2) NEGATIVE METASTATIC BREAST CANCER (MBC) WHO HAVE FAILED AT LEAST TWO PRIOR CHEMOTHERAPY REGIMENS.""","[{'med_condition_id': 527, 'med_condition': 'BREAST CANCER, HORMONE RECEPTOR POSITIVE, HER2 NEGATIVE LOCALLY ADVANCED OR METASTATIC'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
